datatime,dataphase,datafrequency,datapulseduration,dataoutput,modelphase,modelfrequency,modelpulseduration,modelmew,modelsd,beta,phase_m,phase_a,phase_b,freq_a,freq_b,freq_s,pw_a,pw_b,pw_s,
0.000000,1.256000,104.000000,200.000000,-0.304133,0.000000,52.000000,150.000000,-0.007326,26.986808,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
1.000000,2.729141,147.867256,276.656955,-0.000567,0.000000,52.000000,200.000000,-0.008811,26.981754,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
1.000000,5.523231,85.307599,341.377317,0.428319,0.000000,52.000000,250.000000,0.000717,26.995218,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
1.000000,0.248160,152.026937,294.785188,-0.307616,0.000000,52.000000,300.000000,0.058100,26.404202,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
1.000000,3.329716,86.756533,386.586518,-0.128158,0.000000,52.000000,350.000000,0.120026,24.809845,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
1.000000,1.684718,82.130989,179.034536,-0.335111,0.000000,52.000000,400.000000,0.031362,26.851167,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
1.000000,4.026990,143.504181,277.031930,-0.097067,0.000000,104.000000,150.000000,-0.008989,26.981297,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
NaN,NaN,NaN,NaN,NaN,0.000000,104.000000,200.000000,-0.013947,26.971133,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
NaN,NaN,NaN,NaN,NaN,0.000000,104.000000,250.000000,-0.045936,26.298405,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
NaN,NaN,NaN,NaN,NaN,0.000000,104.000000,300.000000,-0.024560,22.589939,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
NaN,NaN,NaN,NaN,NaN,0.000000,104.000000,350.000000,0.131859,22.714238,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
NaN,NaN,NaN,NaN,NaN,0.000000,104.000000,400.000000,0.041236,26.726519,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
NaN,NaN,NaN,NaN,NaN,0.000000,156.000000,150.000000,-0.001399,26.999629,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
NaN,NaN,NaN,NaN,NaN,0.000000,156.000000,200.000000,-0.009423,26.982994,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
NaN,NaN,NaN,NaN,NaN,0.000000,156.000000,250.000000,-0.124395,22.640192,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
NaN,NaN,NaN,NaN,NaN,0.000000,156.000000,300.000000,-0.261807,5.774835,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
NaN,NaN,NaN,NaN,NaN,0.000000,156.000000,350.000000,-0.056403,25.025537,0.000000,0.580905,0.515790,3.263031,0.163228,0.000045,58.683917,0.129705,0.000006,196.333003,
